start_map,start_cell,target_map,target_cell
10154,226,9124,181
10154,229,9124,181
10154,238,9124,181
10154,239,9124,181
10154,240,9124,181
10154,241,9124,181
10154,242,9124,181
10154,243,9124,181
10154,244,9124,181
10154,245,9124,181
10154,253,9124,181
10154,254,9124,181
10154,255,9124,181
10154,256,9124,181
10154,258,9124,181
10154,259,9124,181
10154,268,9124,181
10154,269,9124,181
10154,270,9124,181
10154,271,9124,181
10154,272,9124,181
10154,273,9124,181
10154,274,9124,181
10154,282,9124,181
10154,283,9124,181
10154,284,9124,181
10154,285,9124,181
10154,287,9124,181
10154,288,9124,181
10154,296,9124,181
10154,297,9124,181
10154,298,9124,181
10154,299,9124,181
10154,301,9124,181
10154,302,9124,181
10154,303,9124,181
10154,31,9124,181
10154,310,9124,181
10154,311,9124,181
10154,312,9124,181
10154,313,9124,181
10154,315,9124,181
10154,324,9124,181
10154,325,9124,181
10154,326,9124,181
10154,327,9124,181
10154,329,9124,181
10154,331,9124,181
10154,332,9124,181
10154,338,9124,181
10154,339,9124,181
10154,340,9124,181
10154,341,9124,181
10154,343,9124,181
10154,344,9124,181
10154,345,9124,181
10154,346,9124,181
10154,347,9124,181
10154,352,9124,181
10154,353,9124,181
10154,354,9124,181
10154,355,9124,181
10154,357,9124,181
10154,360,9124,181
10154,361,9124,181
10154,366,9124,181
10154,371,9124,181
10154,373,9124,181
10154,374,9124,181
10154,375,9124,181
10154,376,9124,181
10154,380,9124,181
10154,381,9124,181
10154,382,9124,181
10154,383,9124,181
10154,384,9124,181
10154,385,9124,181
10154,387,9124,181
10154,388,9124,181
10154,389,9124,181
10154,390,9124,181
10154,392,9124,278
10154,394,9124,181
10154,395,9124,181
10154,397,9124,181
10154,398,9124,181
10154,399,9124,181
10154,401,9124,181
10154,402,9124,181
10154,403,9124,181
10154,404,9124,181
10154,405,9124,181
10154,408,9124,181
10154,409,9124,181
10154,410,9124,181
10154,411,9124,181
10154,412,9124,181
10154,413,9124,181
10154,415,9124,181
10154,416,9124,181
10154,417,9124,181
10154,418,9124,181
10154,419,9124,181
10154,426,9124,181
10154,427,9124,181
10154,429,9124,181
10154,430,9124,181
10154,431,9124,181
10154,432,9124,181
10154,433,9124,181
10154,436,9124,181
10154,437,9124,181
10154,438,9124,181
10154,439,9124,181
10154,443,9124,181
10154,444,9124,181
10154,445,9124,181
10154,446,9124,181
10154,45,9124,181
10154,450,9124,181
10154,451,9124,181
10154,452,9124,181
10154,453,9124,181
10154,454,9124,181
10154,455,9124,181
10154,456,9124,181
10154,457,9124,181
10154,46,9124,181
10154,49,9124,181
10154,50,9124,181
10154,59,9124,181
10154,60,9124,181
10154,61,9124,181
10154,62,9124,181
10154,63,9124,181
10154,64,9124,181
10154,65,9124,181
10154,74,9124,181
10154,75,9124,181
10154,76,9124,181
10154,77,9124,181
10154,80,9124,181
10154,81,9124,181
10154,89,9124,181
10154,90,9124,181
10154,93,9124,181
10154,95,9124,181
10154,96,9124,181
10155,218,10170,187
10155,451,10171,31
1016,189,565,158
1016,22,1014,443
1016,231,1005,204
1016,457,271,51
10166,134,10175,437
10166,218,8583,216
10166,451,7855,31
10167,173,10168,146
10167,456,10186,35
10168,160,10167,158
10168,454,10182,34
10169,160,10182,158
10169,231,10170,204
10169,458,10178,39
1017,19,1035,440
1017,305,270,390
1017,347,1077,378
1017,440,1074,33
10170,189,10169,245
10170,202,10155,233
10170,455,10177,34
10171,131,10177,158
10171,16,10155,437
10172,16,10177,437
10172,160,10179,245
10172,455,10173,35
10173,189,10180,245
10173,20,10172,440
10173,454,10174,34
10174,131,10181,187
10174,19,10173,439
10174,454,10175,33
10175,19,10174,440
10175,451,10166,148
10177,144,10171,146
10177,19,10170,441
10177,218,10178,245
10177,451,10172,31
10178,231,10177,204
10178,24,10169,443
10178,305,10183,274
10178,456,10179,36
10179,21,10178,441
10179,231,10172,146
10179,305,10184,274
10179,456,10180,36
1018,222,1019,357
1018,227,1026,353
1018,372,1015,153
10180,160,10185,187
10180,21,10179,442
10180,260,10173,175
10180,456,10181,36
10181,202,10174,117
10181,21,10180,442
10182,173,10169,146
10182,19,10168,439
10182,218,10186,216
10182,458,10183,38
10183,218,10187,216
10183,23,10182,444
10183,289,10178,291
10183,456,10184,36
10184,189,10188,216
10184,21,10183,442
10184,289,10179,291
10184,454,10185,34
10185,19,10184,440
10185,202,10180,146
10185,291,7485,187
10186,21,10167,442
10186,231,10182,233
10186,247,10189,274
10186,454,10187,34
10187,160,10190,158
10187,19,10186,440
10187,231,10183,233
10187,458,10188,38
10188,202,10184,204
10188,23,10187,444
10189,289,10186,233
10189,456,10190,36
1019,222,1031,357
1019,227,1025,353
1019,372,1018,237
10190,173,10187,146
10190,21,10189,442
102,271,103,256
102,300,37,320
1020,222,1021,357
1020,227,1028,353
1020,372,1023,237
10207,182,5147,530
10207,324,6790,154
1021,222,1032,357
1021,227,1027,353
1021,372,1020,237
10214,329,5703,193
10214,351,4308,305
10215,179,5703,314
10215,351,4308,381
10216,324,5332,270
10216,372,6149,222
10217,207,6149,357
10217,324,5332,346
1022,222,1033,357
1022,227,1030,353
1022,372,1034,192
10222,258,10251,424
10222,324,10252,403
10222,431,226,328
10223,25,10225,436
10223,98,6744,330
10225,114,10226,436
10225,450,10223,31
10226,450,10225,128
10227,44,10228,433
10227,448,10229,59
10227,450,9743,83
10228,448,10227,59
10229,44,10227,433
1023,222,1020,357
1023,227,1062,395
1023,367,1036,170
10232,43,10233,43
10233,154,9504,312
10233,43,10232,43
1024,222,1034,402
1024,227,1038,395
1024,367,1062,170
10243,297,9271,582
10243,302,9271,577
10247,314,9488,251
10248,328,9484,216
10249,202,9349,233
10249,23,9346,444
10249,247,9727,216
10249,461,9729,41
1025,367,1019,241
10251,210,10253,272
10251,214,10353,409
10251,322,10253,370
10251,438,10222,272
10252,418,10222,310
10253,104,10253,369
10253,287,10251,196
10253,354,10253,89
10253,385,10251,308
10253,74,10254,328
10254,343,10253,89
10255,394,9458,365
10258,463,10295,218
1026,367,1018,241
1027,367,1021,241
10273,459,10337,32
10276,405,10305,349
10277,260,10278,233
10277,460,10286,40
10278,218,10277,245
10278,289,10280,320
10278,457,10282,36
10279,392,10321,448
1028,367,1020,241
10280,305,10278,303
10280,347,10303,349
10280,453,10281,32
10280,460,10281,40
10281,17,10280,438
10281,218,10282,245
10281,25,10280,446
10281,405,10306,378
10281,451,10293,31
10281,461,10293,41
10282,102,10286,129
10282,22,10278,442
10282,231,10281,233
10282,455,10291,34
10283,421,10322,448
10284,276,10330,419
10285,405,10324,349
10286,115,10282,117
10286,247,10287,274
10286,25,10277,446
10286,459,10290,38
10287,260,10286,233
10287,460,10288,40
10288,115,10290,117
10288,26,10287,446
10288,460,10295,25
10289,405,10325,349
1029,367,1038,170
10290,131,10288,129
10290,24,10286,445
10290,260,10291,233
10290,456,10297,35
10291,20,10282,441
10291,247,10290,245
10291,318,10293,189
10291,455,10301,35
10292,392,10326,448
10292,430,11095,695
10293,16,10281,437
10293,218,10291,303
10293,26,10281,447
10293,405,10311,378
10293,453,10302,32
10294,405,10327,349
10295,189,10258,448
10295,26,10288,461
10295,405,10297,349
10295,458,10345,37
10296,392,10328,448
10297,20,10290,441
10297,289,10301,262
10297,363,10295,390
10297,452,10344,33
10298,392,10329,448
10299,421,10330,448
103,242,102,285
103,255,104,226
1030,367,1022,241
10300,434,10331,349
10301,21,10291,441
10301,260,10302,262
10301,276,10297,303
10301,458,10343,37
10302,18,10293,439
10302,276,10301,274
10302,327,10354,310
10302,332,10355,314
10302,376,10312,349
10302,458,10338,38
10303,318,10304,320
10303,334,10280,361
10303,457,10306,36
10304,305,10303,332
10304,454,10307,33
10305,334,10276,419
10305,376,10273,276
10306,22,10303,443
10306,260,10307,233
10306,392,10281,419
10306,455,10311,35
10307,19,10304,440
10307,247,10306,245
10307,311,10358,338
10307,376,10308,378
10307,458,10310,38
10308,363,10307,390
10308,455,10309,34
10309,189,10310,216
10309,20,10308,440
10309,453,10314,33
1031,372,1019,237
10310,202,10309,204
10310,24,10307,444
10310,247,10311,274
10310,456,10313,36
10311,20,10306,440
10311,260,10310,233
10311,392,10293,419
10311,456,10312,34
10312,19,10311,441
10312,363,10302,390
10312,405,10313,378
10312,453,10332,32
10313,21,10310,442
10313,392,10312,390
10313,456,10319,36
10313,86,10314,59
10314,18,10309,439
10314,451,10317,31
10314,73,10313,71
10315,196,8731,225
10317,16,10314,437
10317,247,10319,216
10317,318,10318,320
10317,451,10335,31
10318,198,7395,371
10318,305,10317,332
10318,320,7395,371
10319,21,10313,441
10319,231,10317,233
10319,461,10334,41
10319,73,10332,100
1032,372,1021,237
10321,334,10273,376
10322,334,10273,376
10324,334,10285,419
10324,434,10273,276
10325,434,10273,276
10326,334,10273,376
10326,434,10292,378
10327,434,10273,276
10328,334,10273,376
10329,334,10273,376
1033,372,1022,237
10330,334,10273,376
10330,434,10284,262
10331,334,10300,448
10331,434,10273,276
10332,18,10312,438
10332,247,10338,245
10332,452,10333,32
10332,86,10319,59
10333,17,10332,438
10333,189,10339,216
10333,405,10334,407
10333,457,10341,36
10334,26,10319,446
10334,392,10333,419
10334,461,10342,40
10334,86,10335,88
10335,17,10317,437
10335,211,10352,123
10335,73,10334,100
10337,18,10273,445
10337,447,10258,177
10338,131,10343,158
10338,24,10302,443
10338,260,10332,233
10338,457,10339,35
10339,202,10333,175
10339,21,10338,443
10339,247,10348,216
10339,456,10340,36
1034,177,1022,357
1034,417,1024,237
10340,102,10349,129
10340,21,10339,442
10340,57,10341,30
10341,144,10342,117
10341,22,10333,442
10341,44,10340,71
10342,131,10341,129
10342,26,10334,446
10343,144,10338,117
10343,23,10301,444
10343,305,10344,332
10343,460,10348,40
10344,18,10297,437
10344,247,10345,216
10344,318,10343,291
10344,459,10347,39
10345,202,10344,262
10345,23,10295,443
10345,459,10346,39
10346,202,10347,233
10346,24,10345,445
10347,202,10348,175
10347,218,10346,187
10347,24,10344,444
10347,454,10351,34
10348,189,10347,187
10348,231,10339,262
10348,25,10343,446
10348,459,10349,39
10349,115,10340,88
10349,160,10351,187
10349,24,10348,444
1035,454,1017,34
10351,173,10349,146
10351,19,10347,440
10352,108,10335,226
10352,84,10359,277
10352,98,10359,294
10353,423,10251,228
10354,108,10356,196
10354,324,10302,341
10354,403,10355,166
10355,151,10354,388
10355,329,10302,346
10356,182,10354,123
10357,308,10358,323
10358,308,10357,323
10358,352,10307,325
1036,156,1023,353
1036,409,1015,221
10365,21,1301,440
10365,22,1301,440
10370,307,8800,414
10370,322,8800,414
10370,397,8800,459
10370,412,8800,459
10371,432,1886,284
1038,156,1029,353
1038,409,1024,241
1039,334,1106,332
1039,347,264,349
1039,457,266,36
104,212,103,269
1040,421,761,158
1040,450,761,187
1040,57,1041,407
1040,86,1041,436
1041,421,1040,71
1041,450,1040,100
1041,57,1042,407
1041,86,1042,436
1042,239,1048,409
1042,254,1048,409
1042,421,1041,71
1042,450,1041,100
10420,173,10424,204
10420,459,10421,39
10421,24,10420,445
10421,260,10425,175
10421,458,10422,39
10422,24,10421,444
10422,260,10426,233
10422,459,10423,38
10423,23,10422,445
10423,231,10427,204
10424,218,10420,158
10424,405,10428,320
10424,458,10425,38
10425,189,10421,274
10425,23,10424,444
10425,289,10429,262
10425,457,10426,36
10426,21,10425,443
10426,218,10422,245
10426,289,10430,320
10426,458,10427,39
10427,218,10423,216
10427,24,10426,444
10427,461,10436,41
10428,202,10432,146
10428,334,10424,419
10428,456,10429,36
10429,22,10428,442
10429,247,10425,274
10429,289,10433,233
10429,457,10430,35
1043,222,1044,357
1043,367,1011,185
10430,21,10429,443
10430,231,10434,204
10430,305,10426,274
10430,457,10431,38
10431,202,10435,175
10431,23,10430,442
10431,452,10437,32
10432,131,10428,216
10432,457,10433,33
10433,19,10432,443
10433,247,10429,303
10433,457,10434,36
10434,189,10430,216
10434,21,10433,443
10434,457,10435,36
10435,160,10431,216
10435,22,10434,443
10436,202,10437,204
10436,27,10427,447
10437,17,10431,438
10437,189,10436,216
1044,222,1047,357
1044,227,1046,353
1044,372,1043,237
10442,17,10447,436
10442,247,10445,245
10442,25,10447,448
10442,260,10443,291
10442,459,10450,39
10443,23,10448,444
10443,231,10444,262
10443,276,10442,245
10443,457,10451,35
10444,247,10443,216
10444,456,10452,37
10445,21,10446,442
10445,260,10442,262
10445,457,10449,37
10446,347,10447,291
10446,456,10445,36
10447,144,10448,175
10447,305,10446,332
10447,405,10448,378
10447,451,10442,31
10447,462,10442,40
10448,189,10447,158
10448,363,10447,390
10448,458,10443,37
10449,22,10445,443
10449,260,10450,262
10449,324,11546,366
10449,455,10453,34
10450,247,10449,245
10450,25,10442,445
10450,289,10451,320
10450,458,10454,37
10451,21,10443,443
10451,318,10452,291
10451,334,10450,303
10451,451,10455,31
10451,462,10455,42
10452,22,10444,442
10452,276,10451,303
10452,457,10456,37
10453,20,10449,441
10453,231,10454,175
10453,305,10605,245
10453,457,10459,37
10454,115,10455,59
10454,160,10453,216
10454,23,10450,444
10454,434,10455,407
10454,457,10460,36
10455,16,10451,437
10455,27,10451,448
10455,289,10456,320
10455,421,10454,419
10455,451,10461,30
10455,73,10454,129
10456,173,10457,175
10456,23,10452,442
10456,305,10455,274
10456,458,10462,33
10457,160,10456,158
10457,231,10534,204
10457,455,10463,38
10458,376,10459,378
10458,461,10464,40
10459,22,10453,443
10459,260,10460,291
10459,363,10458,390
10459,459,10465,38
1046,367,1044,241
10460,173,10461,175
10460,22,10454,443
10460,276,10459,245
10460,458,10466,38
10461,16,10455,437
10461,160,10460,158
10461,260,10462,204
10461,454,10467,34
10462,18,10456,444
10462,218,10461,274
10462,231,10463,204
10462,456,10468,37
10463,189,10462,216
10463,24,10457,440
10463,457,10469,37
10464,26,10458,447
10464,260,10465,291
10464,456,10471,35
10465,173,10466,204
10465,24,10459,445
10465,276,10464,245
10465,457,10473,36
10466,189,10465,158
10466,23,10460,444
10466,260,10467,233
10466,459,10822,39
10467,19,10461,440
10467,247,10466,274
10467,289,10468,320
10467,458,10823,39
10468,173,10469,262
10468,22,10462,441
10468,334,10467,303
10468,456,10824,36
10469,22,10463,443
10469,247,10468,158
10469,318,10470,349
10469,461,10474,40
1047,372,1044,237
10470,334,10469,303
10470,456,10475,34
10471,21,10464,442
10471,231,10473,175
10471,455,10477,35
10472,18,10597,439
10472,231,10476,233
10472,247,10612,245
10472,458,10615,38
10473,189,10471,216
10473,289,10822,320
10473,454,10478,33
10474,173,10475,117
10474,218,10824,274
10474,26,10469,447
10474,458,10480,37
10475,131,10474,187
10475,19,10470,442
10475,455,10481,34
10476,19,10598,439
10476,218,10472,245
10476,318,10479,291
10476,369,11193,385
10476,412,11193,385
10476,457,10503,37
10477,20,10471,441
10477,260,10478,291
10477,455,10482,35
10478,276,10477,245
10478,289,10819,262
10478,459,10483,39
10479,305,10476,332
10479,376,10486,349
10479,457,10505,36
1048,225,1002,429
1048,423,1042,268
10480,218,10821,303
10480,22,10474,444
10480,347,10481,349
10480,457,10484,37
10481,19,10475,441
10481,334,10480,361
10481,457,10485,37
10482,20,10477,441
10482,318,10483,262
10482,454,10487,35
10483,231,10816,233
10483,276,10482,332
10483,458,10489,37
10484,22,10480,443
10484,276,10818,303
10484,289,10485,320
10484,459,10495,38
10485,22,10481,442
10485,305,10484,274
10485,456,10496,37
10486,363,10479,361
10486,376,10488,378
10486,455,10508,35
10487,21,10482,440
10487,289,10489,291
10487,456,10497,35
10488,260,10491,262
10488,363,10486,361
10488,459,10510,38
10489,231,10490,204
10489,276,10487,303
10489,457,10498,37
1049,367,1051,241
10490,218,10489,245
10490,24,10816,445
10490,318,10492,335
10490,459,10499,38
10491,21,10513,441
10491,231,10493,204
10491,247,10488,274
10491,455,10629,34
10492,21,10817,441
10492,318,10494,262
10492,320,10490,303
10492,457,10500,37
10493,218,10491,216
10493,23,10515,443
10493,260,10631,262
10493,457,10741,37
10494,202,10495,175
10494,21,10818,439
10494,276,10492,332
10494,457,10501,37
10495,189,10494,187
10495,24,10484,445
10495,289,10496,291
10495,454,10502,34
10496,22,10485,455
10496,276,10495,274
10497,21,10487,442
10497,318,10498,320
10497,457,10504,37
10498,22,10489,442
10498,305,10497,303
10498,318,10499,233
10498,454,10506,34
10499,24,10490,444
10499,247,10498,303
10499,289,10500,320
10499,456,10507,36
105,342,499,116
105,368,37,227
1050,279,6680,136
1050,372,1051,237
10500,22,10492,443
10500,305,10499,303
10500,347,10501,262
10500,454,10509,33
10501,202,10502,277
10501,22,10494,443
10501,247,10500,332
10501,458,10511,36
10502,19,10495,440
10502,262,10501,187
10502,457,10512,36
10503,102,10615,100
10503,22,10476,443
10503,260,10505,262
10503,457,10619,36
10504,22,10497,443
10504,289,10506,262
10504,458,10598,37
10505,22,10479,442
10505,247,10503,245
10505,318,10508,320
10505,456,10621,36
10506,19,10498,440
10506,276,10504,274
10506,318,10507,349
10506,458,10514,38
10507,21,10499,442
10507,231,10509,262
10507,334,10506,303
10507,456,10516,37
10508,20,10486,441
10508,289,10510,262
10508,305,10505,303
10508,453,10623,33
10509,19,10500,439
10509,247,10507,245
10509,289,10511,291
10509,458,10518,36
1051,222,1050,357
1051,227,1049,353
1051,372,1052,192
10510,24,10488,444
10510,260,10629,233
10510,276,10508,303
10510,454,10738,34
10511,22,10501,443
10511,276,10509,303
10511,289,10512,262
10512,22,10502,443
10512,247,10511,303
10512,454,10515,33
10513,231,10515,204
10513,456,10491,35
10514,23,10506,443
10514,318,10516,320
10515,19,10512,440
10515,218,10513,245
10515,231,10517,204
10515,458,10493,37
10516,22,10507,441
10516,305,10514,303
10516,376,10518,378
10517,218,10515,245
10517,25,10519,445
10517,318,10633,291
10518,22,10509,443
10518,363,10516,361
10519,20,10521,441
10519,202,10520,175
10519,345,11245,343
10519,460,10517,39
1052,177,1051,357
1052,417,740,255
10520,189,10519,216
10520,24,10522,444
10520,260,10636,233
10520,458,10633,37
10521,260,10522,233
10521,455,10519,34
10522,22,10524,442
10522,247,10521,274
10522,318,10523,291
10522,459,10520,39
10523,23,10525,443
10523,305,10522,303
10523,454,10636,35
10523,86,10640,59
10524,23,10526,443
10524,289,10525,262
10524,457,10522,36
10525,19,10527,440
10525,276,10524,303
10525,458,10523,37
10526,21,10528,441
10526,231,10527,204
10526,458,10524,37
10527,20,10529,440
10527,218,10526,216
10527,454,10525,34
10528,202,10529,175
10528,22,10530,442
10528,456,10526,35
10529,189,10528,216
10529,20,10648,440
10529,455,10527,34
1053,223,1054,283
1053,338,34,254
10530,21,10531,441
10530,231,10648,204
10530,457,10528,36
10531,22,10532,443
10531,245,10476,412
10531,260,10651,262
10531,383,10626,399
10531,456,10530,35
10532,202,10654,175
10532,22,10589,442
10532,276,10533,274
10532,457,10531,37
10533,22,10534,442
10533,289,10532,262
10534,173,10589,204
10534,189,10457,245
10534,23,10535,444
10534,457,10533,36
10535,21,10833,441
10535,363,10537,332
10535,376,10830,407
10535,458,10534,38
10537,20,10540,441
10537,347,10535,378
1054,298,1053,238
10540,260,10833,233
10540,35,10541,441
10540,455,10537,35
10541,115,10834,88
10541,180,11091,402
10541,194,11091,416
10541,22,10838,442
10541,363,10544,361
10541,456,10540,50
10542,19,10782,440
10542,202,10943,146
10542,305,10776,303
10542,454,10550,34
10544,23,10548,444
10544,376,10541,378
10547,218,10775,216
10547,23,10779,443
10547,260,10549,233
10547,455,10558,35
10548,202,10838,175
10548,22,10604,442
10548,305,10552,303
10548,458,10544,37
10549,144,10550,117
10549,19,10776,439
10549,247,10547,274
10549,456,10560,36
1055,182,1384,198
1055,213,1056,254
1055,353,524,312
10550,131,10549,158
10550,19,10542,440
10550,289,10942,233
10550,453,10634,33
10552,189,10554,187
10552,20,10603,441
10552,318,10548,291
10554,21,10602,441
10554,247,10557,274
10556,102,10726,129
10556,24,10775,444
10556,289,10558,262
10556,456,10563,36
10557,21,10601,442
10557,247,10559,158
10557,260,10554,233
10558,20,10547,440
10558,260,10560,233
10558,276,10556,274
10558,458,10565,37
10559,131,10561,129
10559,173,10557,262
10559,20,10600,442
10559,456,10566,35
1056,239,1055,227
10560,21,10549,442
10560,247,10558,245
10560,405,10634,378
10560,458,10626,37
10561,144,10559,146
10561,189,10574,187
10561,21,10599,454
10561,454,10564,34
10563,21,10556,441
10563,376,10565,349
10563,421,10725,419
10563,460,10677,40
10564,160,10576,187
10564,19,10561,439
10564,260,10566,233
10564,458,10569,37
10565,202,10626,175
10565,23,10558,443
10565,363,10563,361
10565,456,10570,35
10566,21,10559,441
10566,247,10564,274
10566,455,10571,34
10569,202,10571,204
10569,23,10564,443
10569,247,10578,245
10569,457,10575,36
1057,281,1058,282
1057,300,1059,340
1057,310,55,369
10570,21,10565,441
10570,289,10616,262
10570,334,10677,361
10570,458,10572,38
10571,189,10569,216
10571,20,10566,440
10571,460,10577,39
10572,23,10570,443
10572,231,10606,262
10572,276,10729,274
10572,456,10573,36
10573,21,10572,442
10573,231,10599,204
10573,247,10706,274
10573,456,10574,35
10574,202,10561,204
10574,21,10573,441
10574,218,10698,216
10574,458,10576,37
10575,160,10579,158
10575,22,10569,442
10575,231,10577,204
10575,457,10580,37
10576,173,10564,175
10576,23,10574,444
10576,305,10707,332
10576,458,10578,37
10577,218,10575,216
10577,25,10571,445
10577,455,10605,34
10578,189,10708,216
10578,23,10576,443
10578,260,10569,233
10578,456,10579,35
10579,173,10575,146
10579,21,10578,441
10579,218,10720,216
10579,457,10581,37
1058,296,1057,267
10580,202,10605,175
10580,22,10575,442
10580,334,10581,361
10580,456,10583,35
10581,22,10579,443
10581,247,10715,274
10581,347,10580,320
10581,455,10582,35
10582,20,10581,441
10582,218,10712,216
10582,260,10583,233
10582,456,10584,35
10583,21,10580,441
10583,247,10582,245
10583,459,10585,38
10584,189,10709,187
10584,21,10582,441
10584,260,10585,233
10584,457,10586,36
10585,24,10583,444
10585,247,10584,245
10585,459,10588,38
10586,22,10584,443
10586,260,10588,233
10586,363,10722,419
10586,457,10587,36
10587,115,10592,88
10587,189,10716,187
10587,22,10586,442
10587,457,10829,38
10588,24,10585,444
10588,247,10586,274
10588,457,10592,36
10589,218,10534,187
10589,22,10830,442
10589,231,10827,291
10589,457,10532,37
1059,354,1057,314
10590,22,10829,443
10590,231,10594,204
10590,276,10710,274
10590,460,10591,40
10591,144,10595,146
10591,247,10723,245
10591,25,10590,445
10591,456,11556,36
10592,22,10588,442
10592,458,10593,37
10592,73,10587,129
10593,218,10829,187
10593,23,10592,443
10593,455,10594,35
10594,20,10593,440
10594,218,10590,216
10594,454,10595,33
10595,131,10591,129
10595,19,10594,439
10595,456,10596,36
10596,21,10595,441
10596,247,11556,245
10596,457,10597,37
10597,202,10598,175
10597,22,10596,442
10597,247,10610,245
10597,453,10472,33
10598,189,10597,187
10598,23,10504,443
10598,454,10476,48
10599,202,10600,146
10599,21,10606,442
10599,218,10573,245
10599,455,10561,36
10600,160,10599,187
10600,21,10607,441
10600,231,10601,204
10600,456,10559,35
10601,20,10609,441
10601,218,10600,216
10601,260,10602,204
10601,456,10557,35
10602,202,10603,204
10602,218,10601,245
10602,22,10611,442
10602,456,10554,35
10603,218,10602,216
